ID,Player,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
502, Robby Fabbri,DET,22,"LW, C",Left,32,2,4,6,0.19,-4,43,0.05,12:39,4.57,43,83,60,0.68,6.37,12.3,8.89,-,-,-,-,-,,RFA,"$925,000","$925,000"
503, Frank Vatrano,FLA,24,"RW, LW",Left,81,24,15,39,0.48,-10,208,0.12,14:39,20.46,208,324,266,1.03,10.51,16.37,13.44,-,-,-,-,-,,RFA,"$925,000","$925,000"
504, Jayce Hawryluk,OTT,22,"LW, C",Right,42,7,5,12,0.29,-8,35,0.2,9:25,4.23,35,59,50,0.64,5.3,8.94,7.57,-,-,-,-,-,,RFA,"$925,000","$925,000"
505, Eamon McAdam,-,23,G,Left,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,,UFA,"$925,000","$925,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
506, Zachary Werenski,CBJ,20,LD,Left,82,11,33,44,0.54,-12,168,0.07,22:53,9.13,168,348,246,0.28,5.37,11.12,7.86,-,-,-,-,-,,RFA,"$925,000","$925,000"
507, Tyler Motte,VAN,23,"LW, C",Left,74,9,7,16,0.22,-12,114,0.08,12:46,11.26,114,194,155,0.71,7.24,12.31,9.84,-,-,-,-,-,,RFA,"$925,000","$925,000"
508, Kyle Connor,WPG,21,LW,Left,82,34,32,66,0.8,-7,227,0.15,19:15,30.2,227,355,296,1.14,8.63,13.49,11.25,-,-,-,-,-,,RFA,"$925,000","$925,000"
509, Alex Tuch,VGK,22,RW,Right,74,20,32,52,0.7,13,180,0.11,16:43,20.05,180,327,250,0.97,8.73,15.85,12.12,-,-,-,-,-,,RFA,"$925,000","$925,000"
510, Thatcher Demko,VAN,22,G,Left,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,0,2.81,0.913,,RFA,"$925,000","$925,000"
511,J.T. Compher,COL,23,"RW, C",Right,66,16,16,32,0.48,-8,118,0.14,17:28,15.04,118,197,155,0.78,6.14,10.25,8.06,-,-,-,-,-,,RFA,"$925,000","$925,000"
512, Pavel Buchnevich,NYR,23,"RW, LW",Left,64,21,17,38,0.59,-10,119,0.18,15:10,13.63,119,212,164,0.84,7.35,13.1,10.13,-,-,-,-,-,,RFA,"$925,000","$925,000"
513, Sebastian Aho,CAR,20,"C, LW",Left,82,30,53,83,1.01,25,243,0.12,20:09,33.06,243,466,367,1.2,8.82,16.92,13.33,-,-,-,-,-,,RFA,"$925,000","$925,000"
514, Ian McCoshen,CHI,22,LD,Left,19,1,1,2,0.11,-2,15,0.07,13:19,0.63,15,33,27,0.15,3.56,7.82,6.4,-,-,-,-,-,,RFA,"$925,000","$925,000"
515, Nick Schmaltz,ARI,22,C,Right,40,7,18,25,0.63,-12,62,0.11,17:50,6.87,62,122,81,0.57,5.22,10.26,6.81,-,-,-,-,-,,RFA,"$925,000","$925,000"
516, Patrik Laine,WPG,20,"LW, RW",Right,82,30,20,50,0.61,-24,245,0.12,17:13,24.69,245,470,354,1.05,10.4,19.96,15.03,-,-,-,-,-,,RFA,"$925,000","$925,000"
517, Matthew Tkachuk,CGY,20,"LW, RW",Left,80,34,43,77,0.96,14,207,0.16,17:35,27.69,207,344,273,1.18,8.82,14.66,11.63,-,-,-,-,-,,RFA,"$925,000","$925,000"
518, Jesse Puljujärvi,EDM,20,RW,Right,46,4,5,9,0.2,-14,53,0.08,11:57,4.94,53,112,79,0.54,5.78,12.22,8.61,-,-,-,-,-,,RFA,"$925,000","$925,000"
519, Auston Matthews,TOR,20,C,Left,68,37,36,73,1.07,-9,251,0.15,18:33,31.19,251,447,359,1.48,11.94,21.26,17.07,-,-,-,-,-,,RFA,"$925,000","$925,000"
520, Trevor Moore,LAK,23,"RW, LW",Left,25,2,6,8,0.32,1,26,0.08,9:05,2.5,26,48,40,0.66,6.86,12.67,10.56,-,-,-,-,-,,RFA,"$925,000","$925,000"
521, Jakob Chychrun,ARI,20,LD,Left,53,5,15,20,0.38,-12,117,0.04,20:15,8.34,117,255,186,0.47,6.54,14.25,10.4,-,-,-,-,-,,RFA,"$925,000","$925,000"
522, Lucas Johansen,WSH,20,LD,Left,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,RFA,"$925,000","$925,000"
523, Tage Thompson,BUF,20,"C, RW",Right,65,7,5,12,0.18,-22,108,0.06,12:07,8.81,108,205,156,0.67,8.22,15.6,11.87,-,-,-,-,-,,RFA,"$925,000","$925,000"
524, Zach Aston-Reese,PIT,23,"LW, RW",Left,43,8,9,17,0.4,12,76,0.11,13:39,7.9,76,124,102,0.81,7.77,12.67,10.42,-,-,-,-,-,,RFA,"$925,000","$925,000"
525, Gavin Bayreuther,DAL,24,D,Left,19,2,3,5,0.26,2,25,0.08,18:11,1.93,25,62,39,0.34,4.34,10.76,6.77,-,-,-,-,-,,RFA,"$925,000","$925,000"
526, Sam Vigneault,-,22,C,Left,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,UFA,"$925,000","$925,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
527, Chris Nell,-,23,G,Left,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,,UFA,"$925,000","$925,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
528, Luke Kunin,MIN,20,"RW, C",Right,49,6,11,17,0.35,-9,88,0.07,15:53,6.75,88,164,125,0.52,6.78,12.64,9.64,-,-,-,-,-,,RFA,"$925,000","$925,000"
529, Brock Boeser,VAN,21,RW,Right,69,26,30,56,0.81,-2,209,0.12,19:09,20.69,209,403,289,0.94,9.49,18.3,13.12,-,-,-,-,-,,10.2(c),"$925,000","$925,000"
530, Vinni Lettieri,NYR,23,"C, RW",Right,27,1,2,3,0.11,-7,40,0.03,10:09,3.86,40,70,58,0.84,8.75,15.32,12.69,-,-,-,-,-,,RFA,"$925,000","$925,000"
531, Jake Walman,STL,22,LD,Left,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,RFA,"$925,000","$925,000"
532, Nick DeSimone,SJS,23,D,Right,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,RFA,"$925,000","$925,000"
533, Colin White,OTT,21,"RW, C",Right,71,14,27,41,0.58,-24,123,0.11,16:11,16.71,123,228,185,0.87,6.42,11.89,9.65,-,-,-,-,-,,10.2(c),"$925,000","$925,000"
534, Carson Soucy,MIN,23,D,Left,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,RFA,"$925,000","$925,000"
535, Hunter Miska,COL,22,G,Left,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,3.33,0.889,,UFA,"$925,000","$925,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
536, Alex Iafallo,LAK,24,"LW, C",Left,82,15,18,33,0.4,-17,148,0.1,16:49,15.32,148,237,198,0.67,6.43,10.3,8.61,-,-,-,-,-,,RFA,"$925,000","$925,000"
537, Jonathan Dahlén,SJS,20,"LW, C",Left,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,RFA,"$925,000","$925,000"
538, Carl Grundström,LAK,20,LW,Left,15,5,1,6,0.4,-4,26,0.19,14:58,6.14,27,59,51,1.64,7.22,15.77,13.63,-,-,-,-,-,,RFA,"$925,000","$925,000"
539, Neal Pionk,WPG,22,RD,Right,73,6,20,26,0.36,-16,132,0.05,21:09,5.23,132,245,185,0.2,5.13,9.51,7.18,-,-,-,-,-,,RFA,"$925,000","$925,000"
540, David Kämpf,CHI,23,"C, RW",Left,63,4,15,19,0.3,-6,72,0.06,13:55,7.89,72,124,97,0.54,4.93,8.48,6.64,-,-,-,-,-,,UFA,"$925,000","$925,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
541, Calle Rosén,TOR,24,LD,Left,4,1,0,1,0.25,-3,5,0.2,16:42,0.14,5,10,8,0.13,4.49,8.98,7.18,-,-,-,-,-,,RFA,"$925,000","$925,000"
542, Andreas Borgman,STL,23,LD,Left,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,RFA,"$925,000","$925,000"
543, Matiss Kivlenieks,CBJ,21,G,Left,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,,RFA,"$925,000","$925,000"
544, Anders Bjork,BOS,21,"LW, RW",Left,20,1,2,3,0.15,-1,18,0.06,11:47,1.77,18,37,28,0.45,4.58,9.41,7.12,-,-,-,-,-,,RFA,"$925,000","$925,000"
545, Oskar Lindblom,PHI,21,LW,Left,81,17,16,33,0.41,-9,162,0.1,13:44,19.28,162,253,207,1.04,8.73,13.64,11.16,-,-,-,-,-,,RFA,"$925,000","$925,000"
546, Henrik Haapala,-,24,"LW, RW",Left,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,UFA,"$925,000","$925,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
547, Spencer Foo,CGY,24,"RW, C",Right,0,0,0,0,0,0,0,0,,,,,,,,,,-,-,-,-,-,,RFA,"$925,000","$925,000"
548, Cal Petersen,LAK,23,G,Right,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,2.61,0.924,,RFA,"$925,000","$925,000"
549, Adam Johnson,PIT,24,"C, LW",Left,6,0,2,2,0.33,2,3,0,5:18,0.28,3,5,3,0.53,5.66,9.43,5.66,-,-,-,-,-,,RFA,"$925,000","$925,000"
550, Nico Hischier,NJD,19,C,Left,69,17,30,47,0.68,0,160,0.11,18:06,18.82,160,248,208,0.9,7.69,11.91,9.99,-,-,-,-,-,,RFA,"$925,000","$925,000"
